 INFO 2020-07-28 22:17:11.117 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:17:11.131 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:17:11.132 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:17:12.698 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 1.874 seconds (JVM running for 3.05)
DEBUG 2020-07-28 22:17:59.313 --- [0.1-8081-exec-2] c.a.x.d.UserDAO                          : Admin2 uFErWAnGrvRK4tNOF7tCWw==
 INFO 2020-07-28 22:32:25.787 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:25.790 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:32:25.793 --- [0.1-8081-exec-2] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:32:35.190 --- [0.1-8081-exec-3] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:32:35.190 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:32:35.190 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:32:35.195 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:32:35.199 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:35.202 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:32:35.206 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:35.209 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:32:35.213 --- [0.1-8081-exec-3] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:32:50.447 --- [0.1-8081-exec-5] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:32:50.447 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:32:50.447 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:32:50.451 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:32:50.455 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:50.458 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:32:50.462 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:32:50.465 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:32:50.469 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:35:02.596 --- [0.1-8081-exec-7] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:35:02.596 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:35:02.596 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:35:02.600 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:35:02.604 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:35:02.607 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:35:02.611 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:35:02.614 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:35:02.617 --- [0.1-8081-exec-7] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:38:20.439 --- [.1-8081-exec-10] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:38:20.439 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:38:20.439 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:38:20.443 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:38:20.447 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:38:20.451 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:38:20.454 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:38:20.458 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:38:20.462 --- [.1-8081-exec-10] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:39:18.985 --- [0.1-8081-exec-1] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:39:18.985 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:39:18.985 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:39:18.991 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:39:18.994 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:39:18.998 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:39:19.002 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:39:19.006 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:39:19.010 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 22:42:10.958 --- [0.1-8081-exec-4] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:42:10.958 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:42:10.958 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:42:10.962 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:42:10.967 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:42:10.973 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:42:10.980 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:42:10.985 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:42:10.989 --- [0.1-8081-exec-4] c.a.x.d.TransactionDAO                   : Transactions retrieved:
 INFO 2020-07-28 22:42:56.905 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:42:56.905 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:42:56.905 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:42:57.459 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.605 seconds (JVM running for 1547.81)
 INFO 2020-07-28 22:43:53.411 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:43:53.412 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:43:53.412 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:43:53.904 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.573 seconds (JVM running for 1604.256)
 INFO 2020-07-28 22:43:57.512 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:43:57.512 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:43:57.512 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:43:57.967 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.507 seconds (JVM running for 1608.319)
 INFO 2020-07-28 22:44:24.672 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 22:44:24.672 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 22:44:24.673 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 22:44:25.099 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.473 seconds (JVM running for 1635.45)
DEBUG 2020-07-28 22:45:15.695 --- [0.1-8081-exec-1] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 22:45:15.695 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 22:45:15.695 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 22:45:15.703 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:45:15.707 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:45:15.712 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 22:45:15.717 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 22:45:15.720 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 22:45:15.724 --- [0.1-8081-exec-1] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 23:06:24.618 --- [0.1-8081-exec-5] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 23:06:24.618 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 23:06:24.618 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 23:06:24.625 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 23:06:24.628 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 23:06:24.632 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 23:06:24.635 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 23:06:24.638 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 23:06:24.641 --- [0.1-8081-exec-5] c.a.x.d.TransactionDAO                   : Transactions retrieved:
DEBUG 2020-07-28 23:12:50.991 --- [0.1-8081-exec-8] c.a.x.c.TransactionController            : uid: 1; unit: month
DEBUG 2020-07-28 23:12:50.991 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : DB queries: 
 INFO 2020-07-28 23:12:50.991 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT t.*, u.username FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH)
 INFO 2020-07-28 23:12:50.995 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 23:12:50.999 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT COUNT(*) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 23:12:51.002 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount >= 0 
 INFO 2020-07-28 23:12:51.006 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest >= DATE(NOW() - INTERVAL 1 MONTH) AND t.amount < 0 
 INFO 2020-07-28 23:12:51.009 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : SELECT SUM(t.amount) FROM transactions t, users u WHERE t.uid = u.id AND t.uid = ? AND t.drequest BETWEEN DATE(NOW() - INTERVAL 2 MONTH) AND DATE(NOW() - INTERVAL 1 MONTH)
DEBUG 2020-07-28 23:12:51.013 --- [0.1-8081-exec-8] c.a.x.d.TransactionDAO                   : Transactions retrieved:
 INFO 2020-07-28 23:41:01.297 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:41:01.297 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:41:01.297 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:41:01.803 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.554 seconds (JVM running for 5032.155)
 INFO 2020-07-28 23:42:01.103 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:42:01.104 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:42:01.104 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:42:01.520 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.462 seconds (JVM running for 5091.872)
 INFO 2020-07-28 23:42:05.127 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:42:05.127 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:42:05.127 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:45:45.053 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:45:45.054 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:45:45.054 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:51:49.638 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:51:49.638 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:51:49.638 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:51:54.423 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:51:54.423 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:51:54.423 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:52:40.371 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:52:40.371 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:52:40.372 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
 INFO 2020-07-28 23:52:40.805 --- [  restartedMain] c.a.x.BoXPulseApplication                : Started BoXPulseApplication in 0.51 seconds (JVM running for 5731.157)
 INFO 2020-07-28 23:52:54.530 --- [  restartedMain] c.a.x.BoXPulseApplication                : Starting BoXPulseApplication on Ely-N751JK with PID 18840 (F:\VisualStudioCode\Projects\BO-XPulse\target\classes started by anaem in F:\VisualStudioCode\Projects\BO-XPulse)
DEBUG 2020-07-28 23:52:54.530 --- [  restartedMain] c.a.x.BoXPulseApplication                : Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
 INFO 2020-07-28 23:52:54.530 --- [  restartedMain] c.a.x.BoXPulseApplication                : The following profiles are active: dev
